stops_name,location
Cipinang Baru,EJ
Cipinang Indah,EJ
Cipinang Kb. Nanas 1,EJ
Cipinang Kb. Nanas 2,EJ
Cipinang Kebon Nanas,EJ
Cipinang Lontar,EJ
Cipinang Lontar Rusun Polri,EJ
Cipinang Melayu Kalimalang,EJ
Cipinang Melayu Kalimalang 3,EJ
Cipta Rasuna Said,SJ
Cipulir,SJ
Cipulir 1,SJ
Ciputra,WJ
Cirendeu Permai,SJ
City Walk Sudirman,CJ
Classic Hotel,CJ
Condet Raya,EJ
Curug Kalimalang,EJ
Cut Meutia,CJ
Cyberpark Karawaci,T
D Mall,D
DPP FPI,CJ
DPR MPR 1,CJ
DPR MPR 2,CJ
DPRD DKI Jakarta,CJ
Daarus Saada Duri Kosambi,WJ
Dammara,SJ
Dana Reksa,CJ
Danau Agung,NJ
Danau Agung 1,NJ
Danau Agung 13,NJ
Dapsus 1,SJ
Dapsus 2,SJ
Dapsus 4,SJ
Darmawangsa Square,SJ
Darul Aitam Pondok Pinang,SJ
Departemen Kesehatan,SJ
Departemen Pertanian,SJ
Depo Kontainer Tj. Priok 2,NJ
Dewan Pers,CJ
Dharma Bakti Cijantung,EJ
Dinas Kebersihan Duren Sawit,EJ
Dinas Lingkungan Hidup,EJ
Dinas Olahraga Dan Pemuda,EJ
Dipo Tower,CJ
Direktorat Jenderal Pajak,SJ
Dispenda Samsat Barat,WJ
Dittopad,CJ
Dittopad 2,CJ
Dukuh Atas,SJ
Dukuh Atas 2,SJ
Dukuh Atas 3,SJ
Dukuh Atas 4,CJ
Duren Sawit,EJ
Duren Tiga,SJ
Duren Tiga 1,SJ
Duren Tiga 2,SJ
Duri Kepa,WJ
Dwijaya,SJ
EKS Komplek Gaya Motor,NJ
Embun Pagi Islamic Elementary School,EJ
Embun Pagi Islamic School,EJ
Enggano,NJ
Enggano 1,NJ
Enggano 2,NJ
Epiwalk Epicentrum,SJ
Erha Clinic,NJ
Essence Dharmawangsa,SJ
Exit Tol Veteran Bintaro,SJ
