stops_name,location
Jln. Kavling PGRI,B
Jln. Kayu Besar Dalam,WJ
Jln. Kayu Putih Selatan III,EJ
Jln. Kayu Tinggi,EJ
Jln. Kb. Bawang XIII,NJ
Jln. Kb. Kacang VIII,CJ
Jln. Kb. Kacang X,CJ
Jln. Kb. Nanas,SJ
Jln. Kb. Nanas Selatan II,EJ
Jln. Kb. Nanas V Permata Hijau,SJ
Jln. Kb. Pala II,EJ
Jln. Kedoya Raya,WJ
Jln. Kejaksaan Pondok Bambu,EJ
Jln. Kel. Raya,EJ
Jln. Kelapa Gading III Cililitan Besar,EJ
Jln. Kelapa Hybrida 10,NJ
Jln. Kelapa Hybrida IV,NJ
Jln. Kelapa Nias IV,NJ
Jln. Kelapa Puyuh I,NJ
Jln. Kemandoran III Grogol Utara,SJ
Jln. Kemandoran VI Grogol Utara,SJ
Jln. Kemandoran VII Grogol Utara,SJ
Jln. Kemang 1,SJ
Jln. Kemanggisan Utama VII,WJ
Jln. Kemuning 1,EJ
Jln. Kemuning Raya 1,EJ
Jln. Kenanga,SJ
Jln. Kencana Timur,WJ
Jln. Kesadaran Kali Malang,EJ
Jln. Kesadaran Pool Bus 1,NJ
Jln. Kesadaran Pool Bus 2,NJ
Jln. Kesehatan IV Cideng Timur,CJ
Jln. Klp. Hijau,EJ
Jln. Komarudin Timur Lingkar Timur,EJ
Jln. Komplek Cakrawala,NJ
Jln. Komplek Migas V Palmerah,WJ
Jln. Komplek Yuka,NJ
Jln. Kota Bambu Raya,WJ
Jln. Kota Bambu Selatan IV,WJ
Jln. Kramat I Rawabinong,EJ
Jln. Kramat IV Rawabinong,EJ
Jln. Kramat Jaya,NJ
Jln. Kramat Jaya Raya,NJ
Jln. Kramat Lubang Buaya,EJ
Jln. Kramat Sentiong 1,CJ
Jln. Kunang Kunang 1,B
Jln. Kunang Kunang 2,B
Jln. Kuning Tua,NJ
Jln. Kwitang Timur,CJ
Jln. Lagoa Kanal,NJ
Jln. Langgar,WJ
Jln. Lapangan Merah,WJ
Jln. Lapangan Ros II Bukit Duri,SJ
Jln. Lapangan Ros III Bukit Duri,SJ
Jln. Lapangan Tenis Srengseng,WJ
Jln. Lebak Bulus Raya,SJ
Jln. Lembah Palem Pondok Kelapa,EJ
Jln. Limo Grogol Utara,SJ
Jln. Limo Jatinegara Timur,EJ
Jln. Lingkar Islamic Centre,NJ
Jln. Lorong 104 Timur 2,NJ
Jln. Lorong 19,NJ
Jln. Lorong 22,NJ
Jln. Lorong 4,NJ
Jln. Lorong 5,NJ
Jln. Lotus Indah,NJ
Jln. Madrasah Al Husna,SJ
Jln. Madrasah I Bojong Raya,WJ
Jln. Madrasah II Sukabumi Selatan,WJ
Jln. Makmur,EJ
Jln. Malaka III,EJ
Jln. Malaka Raya 3,EJ
Jln. Mandala Selatan II,WJ
Jln. Mandiri Tengah,NJ
Jln. Mangga,SJ
Jln. Mangga Besar 13,CJ
Jln. Mangga Besar 13 Raya,CJ
Jln. Mangga Cibubur,EJ
Jln. Mangga Dua I Selatan,WJ
Jln. Manggis Pangeran Jayakarta,WJ
Jln. Manunggal Bakti Kalisari,EJ
Jln. Manunggal II Petukangan,SJ
Jln. Marabahan Cideng,CJ
Jln. Marunda Baru,NJ
Jln. Masjid Al Ihsan,EJ
Jln. Masjid Al Ikhlas,EJ
Jln. Masjid Al Wustho,EJ
Jln. Masjid Jatinegara,EJ
Jln. Masjid Soeprapto,EJ
Jln. Mastrip,EJ
Jln. Mawar Kav DKI,WJ
Jln. Melati,EJ
Jln. Melati Bhakti,EJ
Jln. Melati Senen,CJ
Jln. Melati Tugu V,NJ
Jln. Melur Tugu,NJ
Jln. Menceng Raya,WJ
Jln. Menceng Raya 1,WJ
Jln. Mengkudu Dalam,NJ
Jln. Menteng,NJ
Jln. Menteng Atas Raya,SJ
Jln. Menteng Pulo II,SJ
Jln. Mesjid Al Mabruk,EJ
Jln. Metro Duta 1,SJ
Jln. Minyak Raya,SJ
Jln. Mokmer 1,CJ
Jln. Muara 1,SJ
Jln. Mujair Raya,SJ
Jln. Muncang,NJ
Jln. Munggang,EJ
Jln. Musyawarah Panjang Arteri,WJ
Jln. Mutiara Benhil,CJ
Jln. Nagrak Marunda,NJ
Jln. Nanggala Dewa Kembar,NJ
Jln. Nangka,EJ
Jln. Nangka 1,SJ
Jln. Nusa Indah II,EJ
Jln. Nusa Indah IV,EJ
Jln. Nusa Indah V,EJ
Jln. Nusa Indah VI,EJ
Jln. Nusa Indah VII,EJ
Jln. Olahraga 1 Raya Bogor,EJ
Jln. Olahraga I Raya Condet,EJ
Jln. Otista III Komplek IV,EJ
Jln. Otista III Selatan,EJ
Jln. Otista III Utara,EJ
Jln. Pahlawan,ST
Jln. Pahlawan Sukabumi Selatan,WJ
Jln. Pakarena,NJ
Jln. Pakubuwono VI,SJ
Jln. Palatehan,SJ
Jln. Palatehan II,SJ
Jln. Palem Jepang Baru,T
Jln. Palmerah Barat IV,WJ
Jln. Palmerah Utara II,WJ
Jln. Pam Baru,CJ
Jln. Pam Lama I,CJ
Jln. Panca Warga IV,EJ
Jln. Pancoran Indah 1,SJ
Jln. Pancoran Timur III,SJ
Jln. Pangeran Antasari III,SJ
Jln. Pangeran Jayakarta,CJ
Jln. Pangkalan Jati VI A,EJ
Jln. Panjang,SJ
Jln. Panti Asuhan,EJ
Jln. Pasopati Dewa Kembar,NJ
Jln. Pegangsaan Dua 10,NJ
Jln. Pegangsaan Dua 7,NJ
Jln. Pegangsaan Dua 9,NJ
Jln. Pelepah Elok I,NJ
Jln. Pelepah Elok VIII,NJ
Jln. Pemadam Kebakaran Cacing,NJ
Jln. Pemancingan Srengseng,WJ
Jln. Penataran,CJ
Jln. Pendidikan Jatinegara Kaum,EJ
Jln. Penggilingan Baru I,EJ
Jln. Pepaya Raya,SJ
Jln. Pepaya V Jagakarsa,SJ
Jln. Percetakan Susukan,EJ
Jln. Perdagangan Bintaro,SJ
Jln. Perjuangan Raya 2,NJ
Jln. Perjuangan Raya 3,NJ
Jln. Permata Indah 8,B
Jln. Permata Meruya,WJ
Jln. Pertanian II,SJ
Jln. Pertanian III,SJ
Jln. Pesanggrahan,ST
Jln. Petak Baru,WJ
Jln. Petamburan IIb,WJ
Jln. Petojo Barat V,CJ
Jln. Pinang 1,NJ
Jln. Pinang 2,NJ
Jln. Pinang II Pondok Labu,SJ
Jln. Pinang IIIb,SJ
Jln. Pinang Raya,SJ
Jln. Pinang VI Pondok Labu,SJ
Jln. Pintu Air II Pasar Baru,CJ
Jln. Pisangan Baru Tengah 1,EJ
Jln. Pisangan Baru Utara 1,EJ
Jln. Pisangan Lama I,EJ
Jln. Plk II Cililitan Besar,EJ
Jln. Poncol Jaya 1,SJ
Jln. Poncol Jaya 2,SJ
Jln. Pondok Labu 1A,SJ
Jln. Pontian Halim,EJ
Jln. Pramuka 1,EJ
Jln. Prapanca Raya,SJ
Jln. Pratama I Rorotan,NJ
Jln. Prima,WJ
Jln. Primanota,NJ
Jln. Pucung 1 Munggang,EJ
Jln. Pucung 2 Munggang,EJ
Jln. Pulau Sangiyang Lingkar Timur,EJ
Jln. Pule Ciracas,EJ
Jln. Pule I Cijantung,EJ
Jln. Pulo Gundul,CJ
Jln. Pulo Gundul 1,CJ
Jln. Pulo Gundul 2,CJ
Jln. Pulo Mas Barat VI,EJ
Jln. Puma Bundaran Kemayoran,CJ
Jln. Pura Agung Taman Sari,EJ
Jln. Puri Lingkar Dalam,WJ
Jln. R. E. Martadinata,NJ
Jln. Radjiman 1,EJ
Jln. Radjiman 2,EJ
Jln. Rama IX,EJ
Jln. Rasamala,EJ
Jln. Rawa Indah 1,NJ
Jln. Rawa Segaran,EJ
Jln. Rawamangun Muka Timur,EJ
Jln. Rawamangun Selatan 2,EJ
Jln. Raya Inpres,EJ
Jln. Raya Jagakarsa,SJ
Jln. Raya Lenteng Agung,SJ
Jln. Rorotan IX Gg. IV,EJ
Jln. Rorotan V Gg. 1,NJ
Jln. Rorotan XI,NJ
Jln. Rukem Jaya 2,EJ
Jln. SMAN 63,SJ
Jln. SMAN 64,EJ
Jln. SMAN 99,EJ
Jln. SMP 171,EJ
Jln. SMP 175,SJ
Jln. SMPN 147,EJ
Jln. SPG 7,EJ
Jln. Sabar 1 Petukangan,SJ
Jln. Sahabat Kamal,WJ
Jln. Salam IV,WJ
Jln. Sambu Halim,EJ
Jln. Sandratex 1,ST
Jln. Sandratex 2,ST
Jln. Satria,EJ
Jln. Sawo III,SJ
Jln. Sentosa Tambun Rengas,EJ
Jln. Sepakat,EJ
Jln. Serdang,EJ
Jln. Seroja Cengkareng Barat,WJ
Jln. Siman Noar,EJ
Jln. Simprug Golf 2,SJ
Jln. Sindang Terusan,NJ
Jln. Sitrun,WJ
Jln. Srengseng Dalam Lap Bola,WJ
Jln. Srengseng Raya 3,WJ
Jln. Suci Raya Bogor,EJ
Jln. Sukabumi Selatan,WJ
Jln. Sukamulya III Harapan Mulya,CJ
Jln. Sumanggung 3,NJ
Jln. Summagung II Barat,NJ
Jln. Summagung II Timur,NJ
Jln. Sungai Barito Sembar,NJ
Jln. Sungai Sambas VI,SJ
Jln. Sunter Jaya VI,NJ
Jln. Sunter Permai 1,NJ
Jln. Sunter Permai 2,NJ
Jln. Supriyadi,T
Jln. Swadarma Raya,SJ
Jln. Swadarma Utara VI,SJ
Jln. Swadaya I,EJ
Jln. Swadaya Pln,EJ
Jln. Swadaya Raya,EJ
Jln. Swadaya Raya Jelambar,WJ
Jln. Swakarsa III Pondok Kelapa,EJ
Jln. Swakarsa IV Pondok Kelapa,EJ
Jln. Swasembada Barat II,NJ
Jln. Swasembada Barat III,NJ
Jln. Swasembada Barat V,NJ
Jln. Swasembada Barat VIII,NJ
Jln. Swasembada Timur 5,NJ
Jln. Tali Kota Bambu Selatan,WJ
Jln. Taman Alfa Indah,WJ
Jln. Taman Jatibaru Timur,CJ
Jln. Taman Kb. Sirih,CJ
Jln. Taman Kemang,SJ
Jln. Taman Sari I,WJ
Jln. Taman Surya I,WJ
Jln. Tanah Abang II,CJ
Jln. Tanah Abang IV Cideng,CJ
Jln. Tanah Sereal X,WJ
Jln. Tanah Tinggi III,CJ
Jln. Tanah Tinggi IV,CJ
Jln. Tanjakan AURI,EJ
Jln. Tari Klasik,NJ
Jln. Tebet Barat Raya,SJ
Jln. Tebet Timur Dalam III,SJ
Jln. Tebet Timur Dalam VIII J,SJ
Jln. Tegal Amba Rt03,EJ
Jln. Telepon Kota,WJ
Jln. Teluk Mandar 1,EJ
Jln. Teluk Mandar 2,EJ
Jln. Tenggiri Raya,NJ
Jln. Tenggiri Tj. Priok,NJ
Jln. Tiang Bendera III,WJ
Jln. Timah Harapan Mulya,CJ
Jln. Timbul III,SJ
Jln. Tiong,SJ
Jln. Tj. Duren Utara V,WJ
Jln. Tomang Tinggi Gg. 1,WJ
Jln. Tpa II,EJ
Jln. Trikora,EJ
Jln. Tubagus Baddarudin,EJ
Jln. Tugu Indah,NJ
Jln. Ultra Violet,NJ
Jln. Veteran 1,SJ
Jln. Veteran 2,SJ
Jln. Villa Ampera,SJ
Jln. WW Sukabumi Selatan,WJ
Jln. Warakas I Gg. 5,NJ
Jln. Warakas I Gg. 5B,NJ
Jln. Warakas I Gg. 8,NJ
Jln. Warakas II,NJ
Jln. Warakas V,NJ
Jln. Wisma Semar,SJ
Jln. Wr Supratman,ST
Jln.Tebet Barat V,SJ
Joglo,WJ
Juanda,CJ
Juanda Istiqlal,CJ
Juraganan,SJ
KBN Marunda 1,NJ
KBN Marunda 2,NJ
KKDM,EJ
KPAD Joglo,WJ
KPK,SJ
KPP Pratama Cakung 2,EJ
KPP Pratama Cilandak,SJ
KPP Pratama Jakarta Pluit,NJ
KPP Pratama Pasar Rebo,EJ
KPP Pratama Tambora,WJ
KPP Pratama Tanah Abang Satu,CJ
KPU,CJ
KUA Kramat Jati,EJ
KUA Pasar Minggu,SJ
Kali Besar Barat,WJ
Kali Besar Barat 1,WJ
Kalibata City 1,SJ
Kalibata City 2,SJ
Kalideres,WJ
Kalideres 1,WJ
Kampung Budaya Betawi Sukapura,NJ
Kampung Irian Gg. IV,CJ
Kampung Jembatan Ngurah Rai,EJ
Kampung Melayu Besar 2,SJ
Kampung Melayu Kecil,SJ
Kampung Padaengan 1,EJ
Kampung Padaengan 2,EJ
Kampung Rambutan,EJ
Kampung Sumur,EJ
Kampus Frans Seda,EJ
Kampus Uin 1,ST
Kampus Uin 2,ST
Kanisius,CJ
Kantor Kelurahan Baru,EJ
Kantor Lurah Gandul,D
Kantor PJU,WJ
Kantor Pos Cikini,CJ
Kantor Pos Dukuh,EJ
Kantor Pos Kebayoran Lama,SJ
Kantor Pos Mampang,SJ
Kantor Walikota Jaksel,SJ
Kantor Walikota Jakut 1,NJ
Kapin,EJ
Karang Asri,NJ
Karang Asri 2,NJ
Karet Kuningan,SJ
Karet Kuningan 1,SJ
Karet Kuningan 2,SJ
Karet Pedurenan 1,SJ
Karet Pedurenan 2,SJ
Karet Sudirman,SJ
Karet Sudirman 1,SJ
Karet Sudirman 3,CJ
Karet Tengsin,CJ
Kartika Candra,SJ
Kartini Hospital 2,SJ
Kasi Dikdas 1,EJ
Kasi Dikdas 2,EJ
Kav Agraria Duren Sawit,EJ
Kav Marinir Kalimalang,EJ
Kav Polri Blok E Jagakarsa,SJ
Kav Polri Blok H Jagakarsa,SJ
Kavling Pengadilan Jln. Dermaga,EJ
Kayu Mas,EJ
Kayu Putih Rawasari,EJ
Kayuringin 1,B
Kayuringin 2,B
Kb. Baru,NJ
Kb. Jeruk 1,WJ
Kb. Kangkung,T
Kb. Nanas,T
Kebagusan Raya,SJ
Kebantenan,NJ
Kebayoran Baru Velbak 1,SJ
Kebayoran Baru Velbak 2,SJ
Kebayoran Lama,SJ
Kebayoran Lama Bungur,SJ
Kebon Jeruk,WJ
Kec. Cilincing,NJ
Kec. Cipayung,EJ
Kec. Ciracas,EJ
Kec. Johar Baru,CJ
Kec. Kb. Jeruk,WJ
Kec. Kembangan,WJ
Kec. Koja,NJ
Kec. Pasar Minggu,SJ
Kec. Pesanggrahan,SJ
Kec. Pondok Gede,B
Kec. Sawah Besar,CJ
Kec. Tanah Abang,CJ
Kedongdong,D
Kedoya Assiddiqiyah,WJ
Kedoya Green Garden,WJ
Kedubes Malaysia,SJ
Kehakiman,T
Kejaksaan Agung,SJ
Kejaksaan Negeri Jakbar,WJ
Kel. Ancol,NJ
Kel. Balekambang,EJ
Kel. Benhil,CJ
Kel. Bintaro,SJ
Kel. Cibubur,EJ
Kel. Cililitan,EJ
Kel. Ciracas,EJ
Kel. Duren Sawit,EJ
Kel. Duri Kepa,WJ
Kel. Halim Perdana Kusuma,EJ
Kel. Jati Padang,SJ
Kel. Jati Pulo,WJ
Kel. Kalisari,EJ
Kel. Kb. Kacang,CJ
Kel. Lagoa,NJ
Kel. Marunda,NJ
Kel. Pademangan,NJ
Kel. Pegangsaan Dua,NJ
Kel. Penjaringan,NJ
Kel. Pondok Labu,SJ
Kel. Pondok Pinang,SJ
Kel. Rawamangun,EJ
Kel. Rorotan,NJ
Kel. Senen,CJ
Kel. Srengseng,WJ
Kel. Sukabumi Selatan,WJ
Kel. Susukan,EJ
Kel. Tanah Tinggi,CJ
Kelapa Dua Sasak,WJ
Kelapa Gading Utama,NJ
Kelok 9 Kalimalang,EJ
Kemang Raya 40,SJ
Kemayoran Landas Pacu Timur,CJ
Kemayoran Landas Pacu Timur 1,CJ
Kemayoran Landas Pacu Timur 2,NJ
Kemenkes 1,SJ
Kemenkes 2,SJ
Kementan,SJ
Kementerian ESDM,CJ
Kementerian Pariwisata,CJ
Kementerian Pertanian,SJ
Kesatrian Kowal Cut Nyak Dhien,CJ
Keselamatan,SJ
Khong Guan Wahid Hasyim,CJ
Kirana Boutique,NJ
Klapa Village H. Naman,B
Klapa Village Pondok Kelapa,EJ
Klinik Andhika Rawa Buaya,WJ
Klinik Darsa Medika Kamal,WJ
Klinik Fakhira Manggarai Selatan,SJ
Klinik Firdausy,SJ
Klinik Hemodialisa Pandaoni Medika,EJ
Klinik Kartika Pengadegan,SJ
Klinik Otista,EJ
Klinik Persada Sari,WJ
Klinik Sasana Husada,SJ
Kober Balekambang,EJ
Kodam Bintaro,SJ
Kodim 0505 1,EJ
Kodim 0505 2,EJ
Koja Trade Mall,NJ
Kolam Renang Halim,EJ
Kolong Tol Guru Saleh,SJ
Kolong Tol Jakarta Serpong 1,SJ
Kolong Tol Jakarta Serpong 2,SJ
Komdak 1,SJ
Komdak 2,SJ
Kompas Gramedia,CJ
Komplek Abadi 1,EJ
Komplek Abadi 2,EJ
Komplek Al,SJ
Komplek Angkasa Halim PK,EJ
Komplek BKN Sumur Batu,CJ
Komplek BPPT,WJ
Komplek Beacukai Pondok Bambu,EJ
Komplek DDN 1,SJ
Komplek DPR Bumi Sanggraha,EJ
Komplek DPR I Kb. Jeruk,WJ
Komplek DPR III Meruya Selatan,WJ
Komplek Ddn Bintara Jaya,EJ
Komplek Depkeu Kemanggisan Utama,WJ
Komplek Dirgantara III Halim PK,EJ
Komplek Dittopad,CJ
Komplek Dolog Jaya,EJ
Komplek Hankam Cidodol,SJ
Komplek Interkota Indah,WJ
Komplek Jaya Motor Gg. H,NJ
Komplek KPLP Marunda,NJ
Komplek Kejari Tebet Dalam,SJ
Komplek Keuangan,SJ
Komplek Keuangan Saaba,WJ
Komplek Kodam Jaya Kb. Jeruk,WJ
Komplek Mandiri Giant Express 1,ST
Komplek Mandiri Giant Express 2,ST
Komplek Pelni,D
Komplek Pemda 1,T
Komplek Pertokoan Cempaka Putih,CJ
Komplek Perum Ad Cibubur,EJ
Komplek Polri Duren Tiga,SJ
Komplek Polri Kalideres,WJ
Komplek Polri Ragunan,SJ
Komplek RSPP,SJ
Komplek Ruko Interkota,WJ
Komplek Uin,ST
Komplek Wijaya Kusuma 1,EJ
Komplek Wijaya Kusuma 2,EJ
Komplek Wijaya Kusuma 3,EJ
Komplek Zeni Raya Bogor,EJ
Konsil Kedokteran Indonesia,CJ
Koperasi,SJ
Koperasi Serba Usaha,EJ
Koramil Jln. Brigjen Katamso,WJ
Kota,WJ
Kota 1,WJ
Kota Harapan Indah 1,B
Kota Harapan Indah 2,B
Kota Kasablanka,SJ
Kramat Pela,SJ
Kramat Sentiong,CJ
Kuningan 18,SJ
Kuningan Barat,SJ
Kuningan Barat 1,SJ
Kuningan Madya,SJ
Kuningan Madya 2,SJ
Kuningan Media,SJ
Kuningan Timur,SJ
Kuningan Timur 2,SJ
Kuningan Utama,SJ
Kusuma Timur Vihara Dharma Bhakti,WJ
Kwitang,CJ
LP Cipinang,EJ
LPP RRI 1,SJ
LPP RRI 2,SJ
LPPI 1,SJ
Lakesgilut TNI AU 2,EJ
Landmark Pluit Auto Plaza,NJ
Lapangan Blok S,SJ
Lapangan Bola Danu Setiawan,EJ
Lapangan Bola Meruya Ilir,WJ
Lapangan Hankam,SJ
Lapangan Kaprina,EJ
Lapangan Ros,SJ
Latuharhary,CJ
Latumeten Stasiun Grogol Arah Selatan,WJ
Latumeten Stasiun Grogol Arah Utara,WJ
Layur,EJ
Layur 2,EJ
Lebak Bulus,SJ
Lebak Bulus Jak Lingko,SJ
Lenteng Agung,SJ
Lenteng Agung Barat,SJ
Limo,SJ
Lintas Atas Kuningan Mampang,SJ
Lion Center,EJ
Lion Metal 2,EJ
Lippo Mall Kramat Jati,EJ
Litbang Depnaker Jaktim,EJ
Logistik Polri,EJ
London School,CJ
Lotte Mall Kuningan 1,SJ
MAN 21,NJ
MBAU,SJ
MH Thamrin,CJ
MH Thamrin 1,CJ
MH Thamrin 2,CJ
MH Thamrin 3,CJ
MI Al Ihsan Batu Ampar,EJ
MI Arruhaniyah Rorotan,NJ
MI Imadun Najah Rorotan,NJ
MIN 20 Jakarta,NJ
MIN 8 Srengseng Sawah,SJ
MNC Studios,WJ
MOI Kelapa Gading,NJ
MTsN 19,SJ
MTsN 3 Jakarta,SJ
MTsN 37,WJ
MTsN 38,NJ
MTsN 5,NJ
Mabes Au Dinas Psikologi,EJ
Madya Kebantenan,NJ
Malaka 1 Gg. 2 Rorotan,NJ
Malaka 1 Gg. 3 Rorotan,NJ
Malaka 1 Gg. Veteran,NJ
Malaka Jaya RW11 Rorotan,NJ
Mall Bale Kota,T
Mall Cijantung,EJ
Mall Cipinang Indah 1,EJ
Mall Cipinang Indah 2,EJ
Mall Kelapa Gading,NJ
Mall Metropolitan,B
Mall Taman Palem 2,WJ
Mall Taman Palem 3,WJ
Mall Thamrin City,CJ
Mampang 5,SJ
Mampang Prapatan,SJ
Man 15 Jakarta,EJ
Man 2 Jakarta,EJ
Mandara Permai 5,NJ
Mandara Permai 6,NJ
Mandiri Griya Mampang,SJ
Mangga Besar Arah Selatan,WJ
Mangga Besar Arah Utara,WJ
Mangga Dua,NJ
Mangga Dua Square,NJ
Manggala Wanabakti,CJ
Manggarai,SJ
Manggarai 1,SJ
Margaguna 1,SJ
Margaguna 2,SJ
Markas Intai Amfibi Marunda,NJ
Marlindo Marunda,NJ
Masjid Agung,SJ
Masjid Al Akhbar PWI 2,EJ
Masjid Al Barakah Assyafiiyah,SJ
Masjid Al Barkah 1,EJ
Masjid Al Barkah 2,EJ
Masjid Al Barokah 1,EJ
Masjid Al Birru Warrohmah,SJ
Masjid Al Fida Komodor Halim,EJ
Masjid Al Hawi Cililitan,EJ
Masjid Al Huda Balai Rakyat,EJ
Masjid Al Huda Kemayoran,CJ
Masjid Al Jihad Ulujami,SJ
Masjid Al Karomah Cipete,SJ
Masjid Al Mukarromah Jampea,NJ
Masjid Al Mukarromah Lagoa,NJ
Masjid Al Mumin,NJ
Masjid Al Murtamiyyah Marunda,NJ
Masjid Al Waqof,NJ
Masjid Al-Marzuqiyah,EJ
Masjid Amar Maruf 1,B
Masjid Amar Maruf 2,B
Masjid Ar Rayyan Kementerian BUMN,CJ
Masjid Arrohmah,SJ
Masjid As Sudairi,SJ
Masjid Assaadah Malaka Jaya,EJ
Masjid Assuada,EJ
Masjid Asy Syamsu,EJ
Masjid At Taqwa 1,SJ
Masjid At Taqwa Karang Tengah,NJ
Masjid At Tin,EJ
Masjid Attahiriyah,SJ
Masjid Bahari 1,NJ
Masjid Baitul Hilmi Tomang,WJ
Masjid Baitul Mukhlish Serdang,CJ
Masjid Baiturrahman 1,T
Masjid Baiturrahman 2,T
Masjid Baiturrahman Duren Sawit,EJ
Masjid Baiturrohman Jati Pulo,WJ
Masjid Cut Meutia 1,CJ
Masjid Cut Nyak Dien,CJ
Masjid Darul Huda 1,EJ
Masjid Darussalam Cipedak,SJ
Masjid Guru Amin,SJ
Masjid Hidayatussalam,EJ
Masjid Hifdzirrahim,SJ
Masjid Jami Al Badariah Kemayoran,CJ
Masjid Jami Al Barkah 1,EJ
Masjid Jami Al Barkah 2,EJ
Masjid Jami Al Falah Pinang,SJ
Masjid Jami Al Fallah,NJ
Masjid Jami Al Hidayah Tomang,WJ
Masjid Jami Al Ihsan Kemayoran,CJ
Masjid Jami Al Inayah,EJ
Masjid Jami Al Ittihadiyah,WJ
Masjid Jami Al Makmur 1,CJ
Masjid Jami Al Makmur 2,CJ
Masjid Jami Al Makmur Klender,EJ
Masjid Jami Al Mamur Bukit Duri,SJ
Masjid Jami Al Muhsinin,B
Masjid Jami Al Muttaqin Balekambang,EJ
Masjid Jami Al Wiqoyah,SJ
Masjid Jami Al-Baidlo,EJ
Masjid Jami Ar Ridho Jelambar,WJ
Masjid Jami Ar Roghibin,EJ
Masjid Jami Assyakirin Kalimalang,EJ
Masjid Jami Asy Syakirin,SJ
Masjid Jami At Taqwa 1,EJ
Masjid Jami At Taqwa 2,EJ
Masjid Jami At Taqwa 3,EJ
Masjid Jami Attaubah 2,EJ
Masjid Jami Baiturrahman,SJ
Masjid Jami Fathurrahman Ciracas,EJ
Masjid Jami Hasbi,EJ
Masjid Jami Matraman,CJ
Masjid Jami Nurul Ain 1,EJ
Masjid Jami Nurul Ain 2,EJ
Masjid Jami Nurul Fauz,WJ
Masjid Jami Nurul Iman Palmerah,WJ
Masjid Luar Batang,NJ
Masjid Nur Alimin 2,EJ
Masjid Nurul Iman Joglo,WJ
Masjid Nurul Iman Kubur Batu,WJ
Masjid Nurul Jannah Marunda,NJ
Masjid Nururrohman Pondok Kopi,EJ
Masjid Pasmar Marunda,NJ
Masjid Pondok Indah 1,SJ
Masjid Pondok Indah 2,SJ
Masjid Raya Al Musyawarah Kelapa Gading,NJ
Masjid Raya Al Musyawarah Kelapa Gading 1,NJ
Masjid Raya Al Musyawarah Kelapa Gading 2,NJ
Masjid Raya KH Hasyim Asyari,WJ
Masjid Raya Nurul Hidayah,SJ
Masjid Safinatul Husna,WJ
Maspion Plaza,NJ
Matraman 1,EJ
Matraman 2,CJ
Matraman 4,EJ
Matraman Baru,EJ
Mayang Permai,NJ
Mayestik,SJ
Mayestik 1,SJ
Mayestik 2,SJ
Mediterania Boulevard,NJ
Mediterania Garden Residences,WJ
Mega Cinere,D
Mega Kuningan,SJ
Mega Mall Bekasi,B
Mega Syariah,SJ
Megaria,CJ
Megatama,EJ
Melati Mas Residence 2,ST
Melody Golf,NJ
Melody Golf 2,NJ
Menara Astra,CJ
Menara Bidakara,SJ
Menara Cardig,EJ
Menara Duta,SJ
Menara Mandiri,SJ
Menara Mulia,SJ
Menara Thamrin,CJ
Menteng 1,CJ
Menteng 2,CJ
Merpati,SJ
Mesindo Tekninesia,NJ
Mesjid Nurul Huda Kebagusan,SJ
Mess Wirayudha 1,EJ
Mess Wirayudha 2,EJ
Metric PIK,NJ
Metro Pondok Indah,SJ
Metro Sunter,NJ
Midi Utama Cililitan 1,EJ
Midi Utama Condet Raya,EJ
Midi Utama Danau Indah,NJ
Midi Utama Meruya Selatan 2,WJ
Midi Utama Rorotan,NJ
Minagapura,WJ
Minimarket Benda Raya 1,WJ
Minimarket Pondok Kelapa,EJ
Minimarket Pondok Kopi,EJ
Minimarket Sunter Jaya 2,NJ
Mitra Gading Villa,NJ
Mja Rawa Bambu,SJ
Moch Yusuf Raya 1,D
Moch Yusuf Raya 2,D
Monas,CJ
Monas 1,CJ
Monas 2,CJ
Monas 3,CJ
Muara Angke,NJ
Muara Bahari,NJ
Muara Dalam,SJ
Muara Karang Raya,NJ
Multivision Tower,SJ
Munggang 1,EJ
Museum Bahari 1,NJ
Museum Bank Indonesia,WJ
Museum Fatahillah,WJ
Museum Nasional VIsible Storage,EJ
Museum Proklamasi,CJ
Museum Textile,WJ
Mushola Al Achyar Cipete,SJ
Mushola Al Hidayah Batu Ampar,EJ
Mushola Al Jihad Perintis Kemerdekaan,NJ
Mushola Al Muhajirin Cibubur,EJ
Mushola Almujtahida Rorotan,NJ
Mushola As Salam Batu Ampar,EJ
Mushola At Taufiq,EJ
Mushola Nurul Huda Petukangan,SJ
Musholla Al Mukhlisin 1,NJ
Mutiara Pulo Dukuh,EJ
Nabawi Islamic School,EJ
Naga Ciracas,EJ
Naga Raya Duren Sawit,EJ
Nifarro Park,SJ
Nizamia Andalusia,EJ
Nurul Fikri Buaran,EJ
Nusantara,EJ
Olieku Jln. Aries Permai,WJ
Olimo,WJ
One Belpark 1,SJ
One Park Residences,SJ
Otorita Asahan,SJ
PD Pal Jaya,SJ
PGC,EJ
PGC 1,EJ
PGC 2,EJ
PGC Dalam,EJ
PGP,EJ
PIK Avenue,NJ
PIK2 Pantjoran,NJ
PKB Pulo Gadung,EJ
PKP,EJ
PLN Corporate University 2,SJ
PLN Duren Tiga 1,SJ
PLN Duren Tiga 2,SJ
PLN Kramat Jati,EJ
PLN Pusat,SJ
PLN Pusat Raya Tugu,NJ
PLN Senayan,SJ
PLTU,NJ
